id,type,name,title,width,height,commonsUrl,originalUrl,thumbUrl,license,licenseUrl,artist,date,source
"11","항공뷰","Aerial of Keijo (Seoul) Korea, Taken by USS Antietam","File:Aerial of Keijo (Seoul) Korea, Taken by USS Antietam.jpg","7313","5313","https://commons.wikimedia.org/wiki/File%3AAerial_of_Keijo_(Seoul)_Korea%2C_Taken_by_USS_Antietam.jpg","https://upload.wikimedia.org/wikipedia/commons/4/4a/Aerial_of_Keijo_%28Seoul%29_Korea%2C_Taken_by_USS_Antietam.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Aerial_of_Keijo_%28Seoul%29_Korea%2C_Taken_by_USS_Antietam.jpg/960px-Aerial_of_Keijo_%28Seoul%29_Korea%2C_Taken_by_USS_Antietam.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","Public domain","","Naval Photographic Center","1945-09-09","search: Seoul aerial view filetype:bitmap"
"12","항공뷰","Aerial of Keijo (Seoul) Korea, Taken by USS Antietam (cropped)","File:Aerial of Keijo (Seoul) Korea, Taken by USS Antietam (cropped).jpg","5744","4624","https://commons.wikimedia.org/wiki/File%3AAerial_of_Keijo_(Seoul)_Korea%2C_Taken_by_USS_Antietam_(cropped).jpg","https://upload.wikimedia.org/wikipedia/commons/5/50/Aerial_of_Keijo_%28Seoul%29_Korea%2C_Taken_by_USS_Antietam_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Aerial_of_Keijo_%28Seoul%29_Korea%2C_Taken_by_USS_Antietam_%28cropped%29.jpg/960px-Aerial_of_Keijo_%28Seoul%29_Korea%2C_Taken_by_USS_Antietam_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","Public domain","","Naval Photographic Center","1945-09-09","search: Seoul aerial view filetype:bitmap"
"13","항공뷰","View from the Sky Terrace in Seoul","File:View from the Sky Terrace in Seoul.jpg","4032","3024","https://commons.wikimedia.org/wiki/File%3AView_from_the_Sky_Terrace_in_Seoul.jpg","https://upload.wikimedia.org/wikipedia/commons/6/6e/View_from_the_Sky_Terrace_in_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/View_from_the_Sky_Terrace_in_Seoul.jpg/960px-View_from_the_Sky_Terrace_in_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Christophe95","2018-10-07 17:50:30","Category:Views from Lotte World Tower"
"14","항공뷰","1951년 서울항공","File:1951년 서울항공.jpg","2953","1986","https://commons.wikimedia.org/wiki/File%3A1951%EB%85%84_%EC%84%9C%EC%9A%B8%ED%95%AD%EA%B3%B5.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d2/1951%EB%85%84_%EC%84%9C%EC%9A%B8%ED%95%AD%EA%B3%B5.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/1951%EB%85%84_%EC%84%9C%EC%9A%B8%ED%95%AD%EA%B3%B5.jpg/960px-1951%EB%85%84_%EC%84%9C%EC%9A%B8%ED%95%AD%EA%B3%B5.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","한국저작권위원회","1951-01-01","search: Seoul aerial photograph filetype:bitmap"
"15","파노라마","Panorama of Seoul","File:Panorama of Seoul.jpg","4840","1080","https://commons.wikimedia.org/wiki/File%3APanorama_of_Seoul.jpg","https://upload.wikimedia.org/wikipedia/commons/9/90/Panorama_of_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Panorama_of_Seoul.jpg/960px-Panorama_of_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Zubro","2013-03-02","Category:Cityscapes of Seoul"
"16","파노라마","Panorama of Seoul (02)","File:Panorama of Seoul (02).jpg","4550","1080","https://commons.wikimedia.org/wiki/File%3APanorama_of_Seoul_(02).jpg","https://upload.wikimedia.org/wikipedia/commons/2/2a/Panorama_of_Seoul_%2802%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Panorama_of_Seoul_%2802%29.jpg/960px-Panorama_of_Seoul_%2802%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Zubro","2013-03-02","Category:Cityscapes of Seoul"
"17","위성/지도","Seoul satellite map","File:Seoul satellite map.jpg","611","867","https://commons.wikimedia.org/wiki/File%3ASeoul_satellite_map.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f2/Seoul_satellite_map.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/f/f2/Seoul_satellite_map.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled","CC BY 2.5","https://creativecommons.org/licenses/by/2.5","http://www.terraprints.com","2006-10-25","search: Seoul satellite map filetype:bitmap"
"18","항공뷰","Seoul from the sky","File:Seoul from the sky.jpg","1024","386","https://commons.wikimedia.org/wiki/File%3ASeoul_from_the_sky.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1f/Seoul_from_the_sky.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Seoul_from_the_sky.jpg/960px-Seoul_from_the_sky.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","stari4ek","2008-06-18 08:53:37","search: Seoul panorama filetype:bitmap"
"19","파노라마","N Seoul Tower Panorama Night","File:N Seoul Tower Panorama Night.jpg","31232","3733","https://commons.wikimedia.org/wiki/File%3AN_Seoul_Tower_Panorama_Night.jpg","https://upload.wikimedia.org/wikipedia/commons/4/43/N_Seoul_Tower_Panorama_Night.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/N_Seoul_Tower_Panorama_Night.jpg/960px-N_Seoul_Tower_Panorama_Night.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Johnx85dt","2016-03-12","search: Seoul panorama filetype:bitmap"
"20","파노라마","N Seoul Tower Panorama Night (cropped)","File:N Seoul Tower Panorama Night (cropped).jpg","25962","3733","https://commons.wikimedia.org/wiki/File%3AN_Seoul_Tower_Panorama_Night_(cropped).jpg","https://upload.wikimedia.org/wikipedia/commons/d/dc/N_Seoul_Tower_Panorama_Night_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/N_Seoul_Tower_Panorama_Night_%28cropped%29.jpg/960px-N_Seoul_Tower_Panorama_Night_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Johnx85dt","2016-03-12","search: Seoul panorama filetype:bitmap"
"21","파노라마","Seoul panorama from N Seoul Tower","File:Seoul panorama from N Seoul Tower.jpg","22579","3909","https://commons.wikimedia.org/wiki/File%3ASeoul_panorama_from_N_Seoul_Tower.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d9/Seoul_panorama_from_N_Seoul_Tower.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Seoul_panorama_from_N_Seoul_Tower.jpg/960px-Seoul_panorama_from_N_Seoul_Tower.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","cafuego","2019-09-16 12:11:11","Category:Views from N Seoul Tower"
"22","파노라마","Seoul-night-pano-cropped","File:Seoul-night-pano-cropped.jpg","19400","3272","https://commons.wikimedia.org/wiki/File%3ASeoul-night-pano-cropped.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9e/Seoul-night-pano-cropped.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Seoul-night-pano-cropped.jpg/960px-Seoul-night-pano-cropped.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","KLuwak","2009-07-07","search: Seoul panorama filetype:bitmap"
"23","파노라마","N Seoul Tower Panorama 002","File:N Seoul Tower Panorama 002.jpg","19029","2695","https://commons.wikimedia.org/wiki/File%3AN_Seoul_Tower_Panorama_002.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9e/N_Seoul_Tower_Panorama_002.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/N_Seoul_Tower_Panorama_002.jpg/960px-N_Seoul_Tower_Panorama_002.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","User Spike","2014-10-24 18:39:15","Category:Views from N Seoul Tower"
"24","파노라마","N Seoul Tower Panorama 001","File:N Seoul Tower Panorama 001.jpg","18775","2150","https://commons.wikimedia.org/wiki/File%3AN_Seoul_Tower_Panorama_001.jpg","https://upload.wikimedia.org/wikipedia/commons/0/0f/N_Seoul_Tower_Panorama_001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/N_Seoul_Tower_Panorama_001.jpg/960px-N_Seoul_Tower_Panorama_001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","User Spike","2014-10-24 18:12:24","Category:Views from N Seoul Tower"
"25","파노라마","Seoul at Dusk","File:Seoul at Dusk.jpg","7042","3199","https://commons.wikimedia.org/wiki/File%3ASeoul_at_Dusk.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9e/Seoul_at_Dusk.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Seoul_at_Dusk.jpg/960px-Seoul_at_Dusk.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Markrosenrosen","2011-10-30","search: Seoul panorama filetype:bitmap"
"26","한강 축","Cityscape of Yeouido skyscrapers and Hangang Railway Bridge 20240501113854","File:Cityscape of Yeouido skyscrapers and Hangang Railway Bridge 20240501113854.jpg","5751","3834","https://commons.wikimedia.org/wiki/File%3ACityscape_of_Yeouido_skyscrapers_and_Hangang_Railway_Bridge_20240501113854.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a1/Cityscape_of_Yeouido_skyscrapers_and_Hangang_Railway_Bridge_20240501113854.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Cityscape_of_Yeouido_skyscrapers_and_Hangang_Railway_Bridge_20240501113854.jpg/960px-Cityscape_of_Yeouido_skyscrapers_and_Hangang_Railway_Bridge_20240501113854.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","TurnOnTheNight","2024-05-01 11:38:54","Category:Yeouido"
"27","한강 축","Yeouido Han River Seoul Bamseom Pixabay 1602524","File:Yeouido Han River Seoul Bamseom Pixabay 1602524.jpg","4912","3264","https://commons.wikimedia.org/wiki/File%3AYeouido_Han_River_Seoul_Bamseom_Pixabay_1602524.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f3/Yeouido_Han_River_Seoul_Bamseom_Pixabay_1602524.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Yeouido_Han_River_Seoul_Bamseom_Pixabay_1602524.jpg/960px-Yeouido_Han_River_Seoul_Bamseom_Pixabay_1602524.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","pixabay: @heecheol890102","2016-08-10","Category:Yeouido"
"28","파노라마","Seoul city view panorama from Namsan Mountain (49174492133)","File:Seoul city view panorama from Namsan Mountain (49174492133).jpg","8192","1856","https://commons.wikimedia.org/wiki/File%3ASeoul_city_view_panorama_from_Namsan_Mountain_(49174492133).jpg","https://upload.wikimedia.org/wikipedia/commons/4/4b/Seoul_city_view_panorama_from_Namsan_Mountain_%2849174492133%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Seoul_city_view_panorama_from_Namsan_Mountain_%2849174492133%29.jpg/960px-Seoul_city_view_panorama_from_Namsan_Mountain_%2849174492133%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","Matt Kieffer from London, United Kingdom","2019-04-12 19:05","search: Seoul panorama filetype:bitmap"
"29","파노라마","Tallest buildings 2022 whether or not FoP","File:Tallest buildings 2022 whether or not FoP.png","2902","1247","https://commons.wikimedia.org/wiki/File%3ATallest_buildings_2022_whether_or_not_FoP.png","https://upload.wikimedia.org/wikipedia/commons/9/96/Tallest_buildings_2022_whether_or_not_FoP.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Tallest_buildings_2022_whether_or_not_FoP.png/960px-Tallest_buildings_2022_whether_or_not_FoP.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Original: Phoenix CZE Derivative work: Ox1997cow","2022-11-25","search: Lotte World Tower view Seoul filetype:bitmap"
"30","파노라마","Yeouido2025","File:Yeouido2025.jpg","2726","2045","https://commons.wikimedia.org/wiki/File%3AYeouido2025.jpg","https://upload.wikimedia.org/wikipedia/commons/4/45/Yeouido2025.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Yeouido2025.jpg/960px-Yeouido2025.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","Kimhs5400","2025-04-23 13:34:25","Category:Yeouido"
"31","한강 축","Han River Seoul skyline Pixabay 1214950","File:Han River Seoul skyline Pixabay 1214950.jpg","5964","2912","https://commons.wikimedia.org/wiki/File%3AHan_River_Seoul_skyline_Pixabay_1214950.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cc/Han_River_Seoul_skyline_Pixabay_1214950.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Han_River_Seoul_skyline_Pixabay_1214950.jpg/960px-Han_River_Seoul_skyline_Pixabay_1214950.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","USAGI_POST","2010-10-09 13:22:40","Category:Skylines in Seoul"
"32","고지대 전경","Seoul Songpagu sunset","File:Seoul Songpagu sunset.jpg","5472","1986","https://commons.wikimedia.org/wiki/File%3ASeoul_Songpagu_sunset.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f1/Seoul_Songpagu_sunset.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Seoul_Songpagu_sunset.jpg/960px-Seoul_Songpagu_sunset.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","cmmellow","2016-09-02 18:50:41","search: Seoul panorama filetype:bitmap"
"33","고지대 전경","Yeouido Skyline seen Yongsan Station 2023","File:Yeouido Skyline seen Yongsan Station 2023.jpg","4000","2252","https://commons.wikimedia.org/wiki/File%3AYeouido_Skyline_seen_Yongsan_Station_2023.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5f/Yeouido_Skyline_seen_Yongsan_Station_2023.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Yeouido_Skyline_seen_Yongsan_Station_2023.jpg/960px-Yeouido_Skyline_seen_Yongsan_Station_2023.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Ox1997cow","2023-03-17 11:40:16","Category:Skylines in Seoul"
"34","고지대 전경","Namsan cityscape (cropped)","File:Namsan cityscape (cropped).jpg","2048","728","https://commons.wikimedia.org/wiki/File%3ANamsan_cityscape_(cropped).jpg","https://upload.wikimedia.org/wikipedia/commons/a/a5/Namsan_cityscape_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Namsan_cityscape_%28cropped%29.jpg/960px-Namsan_cityscape_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","http://creativecommons.org/licenses/by-sa/3.0/","Wolfgang Schaefer (photographer)","2005-05-07 07:30","search: Seoul cityscape filetype:bitmap"
"35","파노라마","Seoul 360°","File:Seoul 360°.jpg","23886","3973","https://commons.wikimedia.org/wiki/File%3ASeoul_360%C2%B0.jpg","https://upload.wikimedia.org/wikipedia/commons/1/16/Seoul_360%C2%B0.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Seoul_360%C2%B0.jpg/960px-Seoul_360%C2%B0.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","fxgsell","2010-11-29 22:11","Category:Cityscapes of Seoul"
